"","FG_Status","Female","nonwhite","LA","race_Non-Resident Alien","NULLGender","N","DDFW"
"1",0,0,0,0,0,0,314,68
"2",0,0,0,1,0,0,212,28
"3",0,0,1,0,0,0,198,64
"4",0,0,1,0,0,1,13,3
"5",0,0,1,0,1,0,118,69
"6",0,0,1,1,0,0,106,13
"7",0,0,1,1,0,1,7,0
"8",0,0,1,1,1,0,17,9
"9",0,1,0,0,0,0,70,14
"10",0,1,0,1,0,0,78,8
"11",0,1,1,0,0,0,52,12
"12",0,1,1,0,1,0,8,5
"13",0,1,1,1,0,0,56,6
"14",0,1,1,1,1,0,6,1
"15",1,0,0,0,0,0,134,41
"16",1,0,0,1,0,0,86,19
"17",1,0,1,0,0,0,301,110
"18",1,0,1,0,1,0,15,9
"19",1,0,1,1,0,0,208,59
"20",1,0,1,1,1,0,10,4
"21",1,1,0,0,0,0,33,7
"22",1,1,0,1,0,0,49,8
"23",1,1,1,0,0,0,80,23
"24",1,1,1,0,1,0,6,0
"25",1,1,1,1,0,0,132,23
"26",1,1,1,1,1,0,3,1
