Female,nonwhite,FG_Status,LA,N,DFW Rate(%)
Men,White,Non-FG,Trad.,314,21.7
Men,White,Non-FG,LA,212,13.2
Men,White,FG,Trad.,134,30.6
Men,White,FG,LA,86,22.1
Men,PoC,Non-FG,Trad.,316,42.1
Men,PoC,Non-FG,LA,123,17.9
Men,PoC,FG,Trad.,316,37.7
Men,PoC,FG,LA,218,28.9
Women,White,Non-FG,Trad.,70,20.0
Women,White,Non-FG,LA,78,10.3
Women,White,FG,Trad.,33,21.2
Women,White,FG,LA,49,16.3
Women,PoC,Non-FG,Trad.,73,27.4
Women,PoC,Non-FG,LA,69,10.1
Women,PoC,FG,Trad.,86,26.7
Women,PoC,FG,LA,135,17.8
